"Origem","destino","Distancia"
"1","2","500.0"
"1","3","1200.0"
"1","4","1300.0"
"1","5","3900.0"
"1","6","4600.0"
"1","7","3200.0"
"1","8","2000.0"
"1","9","2500.0"
"1","10","3500.0"
"1","11","1700.0"
"1","12","1500.0"
"1","13","2000.0"
"1","14","2200.0"
"1","15","2500.0"
"1","16","3000.0"
"1","17","2700.0"
"1","18","2400.0"
"1","19","2400.0"
"1","20","2900.0"
"1","21","3200.0"
"1","22","3700.0"
"1","23","3700.0"
"1","24","3400.0"
"1","25","3600.0"
"1","26","3700.0"
"1","27","4200.0"
"1","28","5400.0"
"2","1","500.0"
"2","3","700.0"
"2","4","1400.0"
"2","5","4000.0"
"2","6","4700.0"
"2","7","3300.0"
"2","8","2100.0"
"2","9","2600.0"
"2","10","3600.0"
"2","11","1200.0"
"2","12","1400.0"
"2","13","1900.0"
"2","14","1900.0"
"2","15","2400.0"
"2","16","3100.0"
"2","17","2200.0"
"2","18","1900.0"
"2","19","2100.0"
"2","20","2600.0"
"2","21","3100.0"
"2","22","3800.0"
"2","23","3200.0"
"2","24","2900.0"
"2","25","3300.0"
"2","26","3600.0"
"2","27","4300.0"
"2","28","5100.0"
"3","1","1200.0"
"3","2","700.0"
"3","4","700.0"
"3","5","3300.0"
"3","6","4000.0"
"3","7","2600.0"
"3","8","1400.0"
"3","9","1900.0"
"3","10","2900.0"
"3","11","500.0"
"3","12","700.0"
"3","13","1200.0"
"3","14","1200.0"
"3","15","1700.0"
"3","16","2400.0"
"3","17","1500.0"
"3","18","1200.0"
"3","19","1400.0"
"3","20","1900.0"
"3","21","2400.0"
"3","22","3100.0"
"3","23","2500.0"
"3","24","2200.0"
"3","25","2600.0"
"3","26","2900.0"
"3","27","3600.0"
"3","28","4400.0"
"4","1","1300.0"
"4","2","1400.0"
"4","3","700.0"
"4","5","2600.0"
"4","6","3300.0"
"4","7","1900.0"
"4","8","700.0"
"4","9","1200.0"
"4","10","2200.0"
"4","11","700.0"
