"Origem","destino","Distancia"
"1","2","1050.0"
"1","3","1500.0"
"1","4","1650.0"
"1","5","2250.0"
"1","6","3000.0"
"1","7","2550.0"
"1","8","1800.0"
"1","9","2550.0"
"1","10","3350.0"
"1","11","3150.0"
"1","12","2850.0"
"1","13","2850.0"
"1","14","3150.0"
"2","1","1050.0"
"2","3","600.0"
"2","4","600.0"
"2","5","1200.0"
"2","6","2100.0"
"2","7","1800.0"
"2","8","2550.0"
"2","9","2900.0"
"2","10","3150.0"
"2","11","2100.0"
"2","12","2600.0"
"2","13","2850.0"
"2","14","3150.0"
"3","1","1500.0"
"3","2","600.0"
"3","4","1200.0"
"3","5","1800.0"
"3","6","1500.0"
"3","7","2400.0"
"3","8","3150.0"
"3","9","3350.0"
"3","10","2550.0"
"3","11","2700.0"
"3","12","3200.0"
"3","13","3300.0"
"3","14","3000.0"
"4","1","1650.0"
"4","2","600.0"
"4","3","1200.0"
"4","5","600.0"
"4","6","1900.0"
"4","7","1200.0"
"4","8","1950.0"
"4","9","2300.0"
"4","10","2550.0"
"4","11","1500.0"
"4","12","2000.0"
"4","13","2250.0"
"4","14","2550.0"
"5","1","2250.0"
"5","2","1200.0"
"5","3","1800.0"
"5","4","600.0"
"5","6","1300.0"
"5","7","600.0"
"5","8","1350.0"
"5","9","2100.0"
"5","10","1950.0"
"5","11","2100.0"
"5","12","2400.0"
"5","13","2400.0"
"5","14","2700.0"
"6","1","3000.0"
"6","2","2100.0"
"6","3","1500.0"
"6","4","1900.0"
"6","5","1300.0"
"6","7","1900.0"
"6","8","2600.0"
"6","9","1850.0"
"6","10","1050.0"
"6","11","2550.0"
"6","12","2150.0"
"6","13","1800.0"
"6","14","1500.0"
"7","1","2550.0"
"7","2","1800.0"
"7","3","2400.0"
"7","4","1200.0"
"7","5","600.0"
"7","6","1900.0"
"7","8","750.0"
"7","9","1500.0"
"7","10","1350.0"
"7","11","2300.0"
"7","12","1800.0"
"7","13","1800.0"
"7","14","2100.0"
"8","1","1800.0"
"8","2","2550.0"
"8","3","3150.0"
"8","4","1950.0"
"8","5","1350.0"
"8","6","2600.0"
"8","7","750.0"
"8","9","750.0"
"8","10","1550.0"
"8","11","1550.0"
"8","12","1050.0"
"8","13","1050.0"
"8","14","1350.0"
"9","1","2550.0"
"9","2","2900.0"
"9","3","3350.0"
"9","4","2300.0"
"9","5","2100.0"
"9","6","1850.0"
"9","7","1500.0"
"9","8","750.0"
"9","10","800.0"
"9","11","800.0"
"9","12","300.0"
"9","13","300.0"
"9","14","600.0"
"10","1","3350.0"
"10","2","3150.0"
"10","3","2550.0"
"10","4","2550.0"
"10","5","1950.0"
"10","6","1050.0"
"10","7","1350.0"
"10","8","1550.0"
"10","9","800.0"
"10","11","1600.0"
"10","12","1100.0"
"10","13","1100.0"
"10","14","1400.0"
"11","1","3150.0"
"11","2","2100.0"
"11","3","2700.0"
"11","4","1500.0"
"11","5","2100.0"
"11","6","2550.0"
"11","7","2300.0"
"11","8","1550.0"
"11","9","800.0"
"11","10","1600.0"
"11","12","500.0"
"11","13","750.0"
"11","14","1050.0"
"12","1","2850.0"
"12","2","2600.0"
"12","3","3200.0"
"12","4","2000.0"
"12","5","2400.0"
"12","6","2150.0"
"12","7","1800.0"
"12","8","1050.0"
"12","9","300.0"
"12","10","1100.0"
"12","11","500.0"
"12","13","600.0"
"12","14","800.0"
"13","1","2850.0"
"13","2","2850.0"
"13","3","3300.0"
"13","4","2250.0"
"13","5","2400.0"
"13","6","1800.0"
"13","7","1800.0"
"13","8","1050.0"
"13","9","300.0"
"13","10","1100.0"
"13","11","750.0"
"13","12","600.0"
"13","14","300.0"
"14","1","3150.0"
"14","2","3150.0"
"14","3","3000.0"
"14","4","2550.0"
"14","5","2700.0"
"14","6","1500.0"
"14","7","2100.0"
"14","8","1350.0"
"14","9","600.0"
"14","10","1400.0"
"14","11","1050.0"
"14","12","800.0"
"14","13","300.0"
